positionX,positionY,Type
-296,472,Fish1
-328,456,Fish1
-344,392,Fish1
-344,424,Fish1
-344,360,Fish1
-344,328,Fish1
-328,296,Fish1
-312,264,Fish1
-296,264,Fish1
-280,280,Fish1
-264,296,Fish1
-280,472,Fish1
-312,472,Fish1
-232,440,Fish1
-232,392,Fish1
-232,344,Fish1
-216,328,Fish1
-184,328,Fish1
-184,344,Fish1
-200,328,Fish1
-216,456,Fish1
-184,456,Fish1
-200,456,Fish1
-168,424,Fish1
-168,360,Fish1
-168,392,Fish1
-72,488,Fish1
-88,456,Fish1
-104,424,Fish1
-104,392,Fish1
-104,328,Fish1
-104,360,Fish1
-104,296,Fish1
-88,264,Fish1
-88,264,Fish1
-72,248,Fish1
-24,264,Fish1
-40,248,Fish1
-56,232,Fish1
-8,280,Fish1
-56,488,Fish1
-24,488,Fish1
-40,488,Fish1
8,440,Fish1
-8,392,Fish1
-8,408,Fish1
24,456,Fish1
42,442,Fish1
58,418,Fish1
58,378,Fish1
8,328,Fish1
-2,354,Fish1
24,328,Fish1
54,338,Fish1
40,328,Fish1
216,504,Fish1
200,504,Fish1
168,488,Fish1
152,456,Fish1
136,440,Fish1
136,408,Fish1
136,376,Fish1
136,344,Fish1
152,344,Fish1
168,328,Fish1
184,328,Fish1
216,312,Fish1
232,296,Fish1
200,312,Fish1
232,264,Fish1
216,232,Fish1
200,216,Fish1
184,216,Fish1
152,232,Fish1
136,232,Fish1
168,216,Fish1
184,488,Fish1
232,488,Fish1
